mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S2,AQC0L71,30,HAT-PH_d_05-t_1000-mi_11000,26.49,17.0,378.57,0.0007,3297.37
S2,AQC0L71,30,HAT-PH_d_08-t_900-mi_10000,26.29,16.0,433.16,0.0008,3255.04
S2,AQC0L71,30,HAT-PH_d_08-t_900-mi_11000,24.05,15.0,410.76,0.0008,3319.01
S2,AQC0L71,30,HAT-PH_d_08-t_1000-mi_10000,26.64,16.0,471.75,0.0009,3246.11
S2,AQC0L71,30,HAT-PH_d_08-t_1000-mi_11000,28.37,18.0,439.55,0.0009,3285.52
S2,AQC0L71,30,HAT-PH_d_09-t_900-mi_10000,25.49,16.0,478.41,0.0009,3290.07
S2,AQC0L71,30,HAT-PH_d_09-t_900-mi_11000,24.23,16.0,419.89,0.0008,3282.26
S2,AQC0L71,30,HAT-PH_d_09-t_1000-mi_10000,25.33,15.0,472.73,0.0009,3254.39
S2,AQC0L71,30,HAT-PH_d_09-t_1000-mi_11000,26.57,17.0,478.15,0.0009,3334.09
S3,A0NVTRV,30,HAT-PH_d_05-t_900-mi_10000,20.33,15.0,334.59,0.0009,2327.69
S3,A0NVTRV,30,HAT-PH_d_05-t_900-mi_11000,21.63,17.0,318.49,0.0009,2342.52
S3,A0NVTRV,30,HAT-PH_d_05-t_1000-mi_10000,21.06,15.0,324.65,0.0009,2336.5
S3,A0NVTRV,30,HAT-PH_d_05-t_1000-mi_11000,27.28,17.0,293.85,0.0008,2349.99
S3,A0NVTRV,30,HAT-PH_d_08-t_900-mi_10000,19.39,14.0,296.63,0.0008,2347.52
S3,A0NVTRV,30,HAT-PH_d_08-t_900-mi_11000,20.52,16.0,315.91,0.0008,2343.21
S3,A0NVTRV,30,HAT-PH_d_08-t_1000-mi_10000,19.74,14.0,302.25,0.0008,2359.52
S3,A0NVTRV,30,HAT-PH_d_08-t_1000-mi_11000,17.52,14.0,348.59,0.0009,2378.28
S3,A0NVTRV,30,HAT-PH_d_09-t_900-mi_10000,19.09,14.0,325.95,0.0009,2352.26
S3,A0NVTRV,30,HAT-PH_d_09-t_900-mi_11000,22.98,17.0,289.77,0.0008,2363.72
